item,itemLabel,elev
http://www.wikidata.org/entity/Q14713812,McMillan Spire,8004.0
http://www.wikidata.org/entity/Q7703183,Terrace Mountain,8002.0
http://www.wikidata.org/entity/Q49036843,Holliway Mountain,8000.0
http://www.wikidata.org/entity/Q1478283,マアト山,8000.0
http://www.wikidata.org/entity/Q1478283,マアト山,8000.0
http://www.wikidata.org/entity/Q3498546,American Border Peak,7998.0
http://www.wikidata.org/entity/Q1938063,Double Mountain,7993.0
http://www.wikidata.org/entity/Q14704530,Ch-paa-qn Peak,7989.0
http://www.wikidata.org/entity/Q6924259,Mount Union,7988.0
http://www.wikidata.org/entity/Q21010068,Garfield Peak,7976.0
http://www.wikidata.org/entity/Q49089101,Whistler Mountain,7976.0
http://www.wikidata.org/entity/Q7304636,レッドマウンテン (アリゾナ州),7968.0
http://www.wikidata.org/entity/Q28604453,Diamond Peak,7968.0
http://www.wikidata.org/entity/Q29641975,Graybeard Peak,7965.0
