item,itemLabel,elev
http://www.wikidata.org/entity/Q20205278,Mount Ida,12865.0
http://www.wikidata.org/entity/Q49031600,Glacier Peak,12865.0
http://www.wikidata.org/entity/Q23950319,Lizard Head Peak,12847.0
http://www.wikidata.org/entity/Q19460967,Chief Cheley Peak,12815.0
http://www.wikidata.org/entity/Q5856002,Farallones del Citará,12800.0
http://www.wikidata.org/entity/Q49021914,Cooper Mountain,12782.0
http://www.wikidata.org/entity/Q6920894,Mount Gibbs,12779.0
http://www.wikidata.org/entity/Q18389862,The Innominate,12761.0
http://www.wikidata.org/entity/Q28056264,Granite Peak-Northwest Peak,12750.0
http://www.wikidata.org/entity/Q7919536,Venado Peak,12739.0
http://www.wikidata.org/entity/Q14684375,Chair Mountain,12727.0
http://www.wikidata.org/entity/Q6922678,Mount Peale,12726.0
http://www.wikidata.org/entity/Q6920297,Mount Crillon,12726.0
http://www.wikidata.org/entity/Q14684984,Mount Gunnison,12725.0
http://www.wikidata.org/entity/Q6920265,Mount Cotter,12719.0
http://www.wikidata.org/entity/Q5642925,Hallett Peak,12703.0
http://www.wikidata.org/entity/Q21838032,Ionian Mons,12700.0
http://www.wikidata.org/entity/Q5329410,East Spanish Peak,12688.0
http://www.wikidata.org/entity/Q6924651,Mount Wood,12660.0
http://www.wikidata.org/entity/Q3321784,Mount Conness,12649.0
http://www.wikidata.org/entity/Q7419501,Santa Fe Baldy,12632.0
http://www.wikidata.org/entity/Q49023268,Crystal Peak,12632.0
http://www.wikidata.org/entity/Q14684526,Gothic Mountain,12631.0
http://www.wikidata.org/entity/Q1239004,ハンフリーズ ピーク,12622.0
http://www.wikidata.org/entity/Q14684908,Lone Cone (Colorado),12618.0
http://www.wikidata.org/entity/Q16893958,Mount Lander,12618.0
http://www.wikidata.org/entity/Q28056261,Castle Mountain,12617.0
http://www.wikidata.org/entity/Q123474891,Mount Tlingit,12606.0
http://www.wikidata.org/entity/Q16890838,East Temple Peak,12605.0
http://www.wikidata.org/entity/Q18392513,Hallelujah Peak,12594.0
http://www.wikidata.org/entity/Q16844388,Mount Bonneville,12590.0
http://www.wikidata.org/entity/Q14681615,Bloody Mountain,12558.0
http://www.wikidata.org/entity/Q28056262,Whitetail Peak,12556.0
http://www.wikidata.org/entity/Q14680137,Mount Carpe,12552.0
http://www.wikidata.org/entity/Q28056263,Silver Run Peak,12547.0
http://www.wikidata.org/entity/Q48814835,New York Mountain,12546.0
http://www.wikidata.org/entity/Q28056265,Castle Rock Spire,12545.0
http://www.wikidata.org/entity/Q16899136,Raid Peak,12537.0
http://www.wikidata.org/entity/Q14684531,Graham Peak,12536.0
http://www.wikidata.org/entity/Q14685188,Whetstone Mountain,12527.0
http://www.wikidata.org/entity/Q16902966,Mount Washakie,12524.0
http://www.wikidata.org/entity/Q18394522,Washakie Needles,12523.0
http://www.wikidata.org/entity/Q14685069,Ptarmigan Peak,12504.0
http://www.wikidata.org/entity/Q27962436,Kedarkantha,12500.0
http://www.wikidata.org/entity/Q49055123,Mount Watson,12497.0
http://www.wikidata.org/entity/Q16835065,Atlantic Peak,12495.0
http://www.wikidata.org/entity/Q14685105,Specimen Mountain,12494.0
http://www.wikidata.org/entity/Q16962147,Dog Tooth Peak,12488.0
http://www.wikidata.org/entity/Q16895262,Mitchell Peak (Wyoming),12482.0
http://www.wikidata.org/entity/Q28056266,Tempest Mountain,12474.0
http://www.wikidata.org/entity/Q7164645,Penrose Peak,12461.0
http://www.wikidata.org/entity/Q18210109,Dome Mountain,12455.0
http://www.wikidata.org/entity/Q4850647,Baldy Mountain,12445.0
http://www.wikidata.org/entity/Q14684455,East Beckwith Mountain,12441.0
http://www.wikidata.org/entity/Q5460743,Florence Peak,12437.0
http://www.wikidata.org/entity/Q4918375,Bison Peak,12432.0
