dataset_slug,dataset_name,metric_key,metric_name,unit,item_key,item_name,value
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q49021914,Cooper Mountain,12782
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6920894,Mount Gibbs,12779
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q18389862,The Innominate,12761
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28056264,Granite Peak-Northwest Peak,12750
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7919536,Venado Peak,12739
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684375,Chair Mountain,12727
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6922678,Mount Peale,12726
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6920297,Mount Crillon,12726
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684984,Mount Gunnison,12725
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6920265,Mount Cotter,12719
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5642925,Hallett Peak,12703
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q21838032,Ionian Mons,12700
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q5329410,East Spanish Peak,12688
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q6924651,Mount Wood,12660
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q3321784,Mount Conness,12649
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q7419501,Santa Fe Baldy,12632
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q49023268,Crystal Peak,12632
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684526,Gothic Mountain,12631
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q1239004,ハンフリーズ ピーク,12622
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684908,Lone Cone (Colorado),12618
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16893958,Mount Lander,12618
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28056261,Castle Mountain,12617
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q123474891,Mount Tlingit,12606
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16890838,East Temple Peak,12605
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q18392513,Hallelujah Peak,12594
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16844388,Mount Bonneville,12590
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14681615,Bloody Mountain,12558
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28056262,Whitetail Peak,12556
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14680137,Mount Carpe,12552
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28056263,Silver Run Peak,12547
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q48814835,New York Mountain,12546
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q28056265,Castle Rock Spire,12545
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q16899136,Raid Peak,12537
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14684531,Graham Peak,12536
world-mountains,世界の山（Wikidata）,height_m,標高,m,Q14685188,Whetstone Mountain,12527
